country,pine,abiens,relative_pine
AT,346144,76488,0.819019857
BE,137057,0,1
BG,1325974,146209,0.900685581
CH,62673,142012,0.306192442
CY,NA,NA,0.5
CZ,571279,19210,0.967467641
DE,3298671,215143,0.938772229
DK,15661,25145,0.383791599
EE,1290606,0,1
EL,586192,587926,0.499261573
ES,6243698,30195,0.995187199
FI,12334824,0,1
FR,3180393,810545,0.796903635
HR,176646,194785,0.475582275
HU,378423,2386,0.993734392
IE,199984,0,1
IS,0,0,0
IT,759926,129426,0.85447157
LI,133,362,0.268686869
LT,999047,0,1
LU,13941,0,1
LV,1406774,0,1
ME,0,0,0.5
MK,10454,174,0.983628152
MT,0,0,0
NL,153071,0,1
NO,3094921,0,1
PL,6442713,279056,0.958484738
PT,1317575,0,1
RO,35932,297511,0.107760547
SE,12028956,0,1
SI,71208,35372,0.668117846
SK,163254,85895,0.655246459
TR,2661,0,1
UK,280317,0,1
