"intra.EU.yearly.sum.tab...1.","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009"
"AT",0.795559981173042,0.779223759934758,0.787994092766523,0.783310897913547,0.806728306999899,0.854327669541613,0.866039588744196,0.844610370197737,0.879509104324396
"BE",0.99428174688312,0.995058454109302,0.989360407168106,0.983741166026512,0.978558805146663,0.979250505236623,0.972694283000885,0.942172365011313,0.889608190931203
"BG",0.729809952675614,0.700685109767854,0.951067873166011,0.735531240292112,0.804512983331443,NA,0.657132025296286,0.755012035346763,0.482384496423739
"CH",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CY",NA,1,0,0,0,0.377358490566038,NA,0.416083916083916,NA
"CZ",NA,NA,NA,0.843745280293988,0.834086523657217,0.828046812224839,0.867708020159624,0.848451258839803,0.677400252112102
"DE",0.831098128051809,0.736285263074011,0.74702056484395,0.697631171387739,0.655721187848888,0.693529546416644,0.782487369501457,0.798967000201968,0.777685447375194
"DK",0.850083606036048,0.933940957909792,0.840536557310264,0.8820596039866,0.831373377652442,0.796424012825357,0.748881588935079,0.895557515812391,0.959850827872665
"EE",NA,NA,NA,0.814594016950406,0.825260791992483,0.808555903069497,0.882708390323967,0.838598679279393,0.751861528537095
"EL",0.321387283236994,0.997996132742778,0.377405857740586,0.984397311582772,0.403556485355649,0.996785203651888,1.35949936728291,0.975902901124926,0.960746550878913
"ES",0.811436023473943,0.789204135113385,0.937092592673554,0.827688122014552,0.622948867818331,0.822243946103835,0.241921242588296,0.286987869866809,0.733454531963047
"FI",0.654259128640959,0.638309983526859,0.640074742904134,0.629092453792352,0.597411767874403,0.591551697244429,0.587404344090952,0.53289107269662,0.500700204442832
"FR",0.982472986732758,0.916447679798815,0.977587094274883,0.926208412341559,0.900410583041078,0.90785869517811,0.905150225457737,0.846576566616918,0.707846466651134
"HR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HU",NA,NA,NA,0.994686408549509,0.994808383617923,0.979839760291819,0.957510105092967,0.992370391432092,0.946533037050474
"IE",0.999355628584316,0.99925793638575,0.999956027591221,0.999265672215892,1,0.999986706767917,0.998429622053109,0.999004451724734,0.999969606290945
"IS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"IT",0.816081348272291,0.751529642110812,0.762185786952442,0.85733633370838,0.68302676467485,0.607801761404434,0.433560662282161,0.401163425398855,0.406200810390877
"LI",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LT",0.726643511233881,0.714481737649334,0.821050564352751,0.750123926110493,0.72025246081812,0.778399787064147,0.970891569902754,0.947249754833287,0.866729324774392
"LU",1,1,1,0.99998049551153,1,1,1,1,1
"LV",NA,NA,NA,0.902329241839891,0.910791960158262,0.881154775186917,0.871140904909654,0.799229706668742,0.749727796028491
"ME",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MK",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MT",0,NA,NA,NA,NA,NA,1,1,NA
"NL",0.911312601696157,0.839959878226899,0.932938919955696,0.959128707778476,0.958993807021041,0.986040317766451,0.986990191448548,0.989653924077967,0.979383470136416
"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",NA,NA,NA,0.996347546439138,0.997728244274809,0.987478507959617,0.991797003171825,0.995740161456006,0.981513707094399
"PT",0.883029764222684,0.922833897899515,0.953456094292166,0.965180591923101,0.932617766361766,0.906383088679196,0.855765645906392,0.832717443494034,0.874137547295793
"RO",NA,0.15865151743178,0.1592146010742,0.700586041555674,0.964173163045281,NA,0.246695773851118,0.199740739285855,0.156905299279859
"SE",0.783244992064573,0.748502947252578,0.759710347716556,0.710809809052945,0.763747501837836,0.765395747834148,0.787547249173064,0.715529099543672,0.686068975498165
"SI",0.886411967441519,0.91290209854518,0.900183843026339,0.226854000931241,0.510977267548306,0.205492631329842,0.204136969321351,0.182520297154948,0.114908435469753
"SK",NA,NA,NA,0.99881179386461,0.999799149912539,0.999306876206001,0.999956555550246,0.999636622433764,0.99277697071886
"TR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"UK",0.99206781616563,0.925065294742555,0.996607396357162,0.972750768544228,0.974996103395378,0.972983819215972,0.876521484088576,0.993792465552117,0.926924612187031
