"Declarant","2001","2002","2003","2004","2005","2006","2007","2008","2009","mean"
"AT",NA,5.2,NA,NA,23.799999,NA,70.8,138.500002,NA,26.4777778888889
"BE",NA,12.5,NA,NA,1.5,NA,75.200001,78.100001,59.3,25.177778
"BG",NA,NA,NA,NA,NA,NA,0.8,145.799996,45.800001,21.3777774444444
"CH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CY",NA,NA,NA,NA,2,NA,NA,13.8,NA,1.75555555555556
"CZ",NA,54.062002,44.815001,40.8,38.1,40.799999,118.100001,131.400002,30.6,55.4085561111111
"DE",34.700001,85.199998,190.400001,195.200003,227.3,59,205.100006,167.399997,253.099997,157.488889222222
"DK",NA,NA,23,21.299999,18.9,43.899999,310.800001,52,100.699997,63.3999995555556
"EE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EL",NA,NA,NA,NA,25.4,NA,NA,13.4,NA,4.31111111111111
"ES",22.200001,NA,24.6,39,98.8,39.1,259.900002,129.200001,10,69.2000004444444
"FI",NA,NA,NA,NA,NA,NA,NA,7.3,7.9,1.68888888888889
"FR",NA,49.3,NA,NA,2.7,63.599999,55.3,126.800004,94.9,43.6222225555556
"HR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HU",0.199,NA,2.129,43.864001,2.5,NA,NA,NA,21.4,7.78800011111111
"IE",41,30,1.5,13,145.700001,55.199998,192.1,1.1,149.599998,69.9111107777778
"IS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IT",41.600001,24.1,NA,NA,NA,122.7,397.200005,317.999997,101.599998,111.688889
"LI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MT",NA,NA,NA,47.299999,NA,NA,NA,7,18,8.03333322222222
"NL",51.5,5.6,2.5,14.6,29.9,1.3,92.500002,91.6,25.5,35.0000002222222
"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",NA,NA,NA,NA,NA,NA,NA,2.9,NA,0.322222222222222
"PT",NA,NA,NA,NA,NA,NA,NA,20,25.799999,5.08888877777778
"RO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SE",98.800003,0,NA,26.800001,23.4,72.399998,63.1,93.8,59.000001,48.5888892222222
"SI",NA,NA,NA,NA,NA,NA,NA,NA,25.4,2.82222222222222
"SK",NA,NA,NA,1.2,NA,NA,NA,NA,NA,0.133333333333333
"TR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UK",36.5,NA,52.100001,32,25.3,31.7,134.700003,13.6,20.200001,38.4555561111111
